State,Death_rate,Ratio,Household,Interaction
California,92.92337913701624,1.0,1.0,1.0
California,152.67927501970055,0.0,0.0,0.0
California,93.48416258054624,1.0,1.0,1.0
California,90.36223699072735,1.0,0.0,0.0
California,240.25352351636636,0.0,1.0,0.0
California,89.63931198154312,0.0,0.0,0.0
California,442.4631742164138,0.0,0.0,0.0
California,214.91207429369223,0.0,1.0,0.0
California,256.13872526308825,0.0,0.0,0.0
California,182.0275063787417,0.0,0.0,0.0
California,275.25022702641115,1.0,1.0,1.0
California,207.7922077922078,0.0,0.0,0.0
California,95.97557826249512,1.0,0.0,0.0
California,120.53725175066008,0.0,0.0,0.0
California,255.42550820175327,0.0,0.0,0.0
California,149.89248851555627,0.0,0.0,0.0
California,77.21617642813844,1.0,0.0,0.0
California,110.64506070390377,1.0,0.0,0.0
California,185.78419698802497,1.0,1.0,1.0
California,124.80889435654508,1.0,1.0,1.0
California,229.09399375847053,0.0,1.0,0.0
California,165.61028071170156,0.0,1.0,0.0
California,279.81088834754814,0.0,1.0,0.0
California,134.44766348673423,1.0,1.0,1.0
California,77.96210264476717,1.0,1.0,1.0
California,253.0550880437458,0.0,1.0,0.0
California,129.903687211743,1.0,0.0,0.0
California,83.06960475325323,1.0,1.0,1.0
California,127.67057395565246,0.0,1.0,0.0
California,102.370686855344,1.0,1.0,1.0
California,83.46450927993557,1.0,0.0,0.0
California,273.8931314742814,0.0,0.0,0.0
California,85.25705339026135,0.0,1.0,0.0
California,84.13831695185799,1.0,1.0,1.0
California,269.66415553745185,0.0,1.0,0.0
California,200.38415615428545,0.0,0.0,0.0
California,216.59187235103465,0.0,0.0,0.0
California,250.0242480412971,0.0,1.0,0.0
California,143.2120898913078,1.0,1.0,1.0
California,123.41503103659484,1.0,0.0,0.0
California,127.70238893761932,0.0,0.0,0.0
Florida,201.04063706383693,1.0,0.0,0.0
Florida,390.9460450032209,0.0,0.0,0.0
Florida,300.3361947202109,1.0,1.0,1.0
Florida,256.29764713817264,1.0,1.0,1.0
Florida,363.5855125157321,0.0,0.0,0.0
Florida,567.1294731576742,0.0,0.0,0.0
Florida,326.5302330766301,0.0,0.0,0.0
Florida,233.03325468900343,1.0,1.0,1.0
Florida,451.3526474653728,0.0,0.0,0.0
Florida,304.53770670141074,0.0,1.0,0.0
Florida,349.552087050153,0.0,0.0,0.0
Florida,246.3359739131976,0.0,0.0,0.0
Florida,489.7745149449397,0.0,0.0,0.0
Florida,544.1123032493737,0.0,0.0,0.0
Florida,216.2802010255223,1.0,1.0,1.0
Florida,363.1405927473816,1.0,0.0,0.0
Florida,351.0102073768305,0.0,1.0,0.0
Florida,245.44985923311788,0.0,1.0,0.0
Florida,181.59204832404245,1.0,0.0,0.0
Florida,311.54229942084106,0.0,1.0,0.0
Florida,498.8756558674106,0.0,1.0,0.0
Florida,326.01919960104726,1.0,0.0,0.0
Florida,342.2622127732553,0.0,1.0,0.0
Florida,131.75931964278584,1.0,0.0,0.0
Florida,290.3383783027448,0.0,0.0,0.0
Florida,280.0944897073712,0.0,0.0,0.0
Florida,166.76566330660424,1.0,1.0,1.0
Florida,257.10404602024937,0.0,0.0,0.0
Florida,291.6217122553316,1.0,1.0,1.0
Florida,299.8786778665827,0.0,1.0,0.0
Florida,286.1012271044352,1.0,1.0,1.0
Florida,358.6331980134186,0.0,1.0,0.0
Florida,519.0827279627019,0.0,0.0,0.0
Florida,206.3349124936377,1.0,0.0,0.0
Florida,421.29667138236414,0.0,0.0,0.0
Florida,501.1498605132888,0.0,0.0,0.0
Florida,111.509563639934,1.0,1.0,1.0
Florida,224.34352200045,1.0,1.0,1.0
Florida,365.5589588880851,1.0,0.0,0.0
Florida,301.58924899332914,0.0,1.0,0.0
Florida,243.4939267266253,0.0,0.0,0.0
New York,143.38673591037514,1.0,1.0,1.0
New York,241.0930942189729,0.0,0.0,0.0
New York,246.2540716612378,0.0,0.0,0.0
New York,155.92920813950465,0.0,0.0,0.0
New York,173.2192124404314,0.0,0.0,0.0
New York,230.63662842537,0.0,0.0,0.0
New York,70.96613545816733,0.0,0.0,0.0
New York,182.2678895081833,1.0,0.0,0.0
New York,243.8857165244816,1.0,1.0,1.0
New York,105.87327507312432,0.0,0.0,0.0
New York,147.1100003163656,0.0,0.0,0.0
New York,163.40329623890688,0.0,0.0,0.0
New York,181.54071410500023,1.0,1.0,1.0
New York,251.1649109710751,1.0,1.0,1.0
New York,223.65509529134644,0.0,0.0,0.0
New York,306.01465028768,0.0,0.0,0.0
New York,191.0782489259973,1.0,1.0,1.0
New York,131.17860331225972,1.0,0.0,0.0
New York,217.75715366274335,0.0,1.0,0.0
New York,124.96812037745472,0.0,0.0,0.0
New York,107.38091861336792,1.0,0.0,0.0
New York,133.9513121568677,1.0,0.0,0.0
New York,247.53008028584344,1.0,0.0,0.0
New York,246.41907855877145,0.0,0.0,0.0
New York,115.99865685765744,1.0,0.0,0.0
New York,102.52376101002024,1.0,0.0,0.0
New York,225.3685715180034,0.0,0.0,0.0
New York,256.85786882899816,1.0,1.0,1.0
New York,135.40601893029245,0.0,0.0,0.0
New York,69.4464821933351,1.0,0.0,0.0
New York,174.91632608439713,1.0,0.0,0.0
New York,163.5845264617446,1.0,0.0,0.0
New York,138.73011997380777,0.0,0.0,0.0
New York,248.0546855806214,1.0,1.0,1.0
